index,routeTag,headingInDegreeFromNorth,speedInMeterPerMinute,           x,           y,           z
    0,     12E,                     215,                  0.0,    -9186.19,    +3833.96,      -73.45
    1,    144E,                      63,                  0.0,   -16623.60,     +575.70,      -73.45
    2,    144O,                     215,                  0.0,   -24859.57,     +832.21,      -74.28
    3,    151N,                     215,                  0.0,    -8202.94,     -420.55,      -75.47
    4,    151N,                     346,                  1.0,   -20283.42,   +11402.53,      -73.35
    5,    151N,                     332,                  0.0,   -18534.54,    +3583.89,      -73.45
    6,    151S,                     227,                  0.0,   -20317.32,   +10180.67,      -73.45
    7,    151S,                     146,                  1.6,   -14425.18,    +1024.92,      -74.45
    8,     17N,                     320,                  0.0,   -14931.19,    +9297.67,      -73.45
    9,     17S,                     168,                  0.8,   -16971.81,   +11755.06,      -73.45
   10,     20O,                     255,                  0.0,   -14126.32,    +1612.74,      -74.45
   11,     22E,                     215,                  0.0,    -9163.30,    +3841.96,      -77.47
   12,     22O,                     227,                  0.0,    -6104.98,   +11366.07,      -73.45
   13,     24E,                      55,                  0.0,   -14481.97,    +1746.66,      -73.45
   14,     24O,                     215,                  0.0,    -9142.63,    +3872.86,      -77.47
   15,     26E,                      57,                  0.0,   -20786.33,     +488.90,      -74.37
   16,     26E,                     215,                  0.0,   -29116.31,     -324.86,      -76.48
   17,     26O,                     280,                  0.0,   -26367.39,     -425.77,      -73.35
   18,     27S,                     215,                  0.0,   -15821.86,    +8837.66,      -74.02
   19,     31S,                     215,                  0.0,   -18678.35,   +12947.92,      -73.45
   20,     31S,                     140,                  0.7,   -10491.52,    +5266.32,      -73.45
   21,     37S,                     176,                  1.4,   -13366.24,    +4945.35,      -73.45
   22,     39N,                     348,                  0.0,   -17228.43,   +12711.75,      -73.45
   23,     40O,                     254,                  0.0,   -13717.88,    +4084.69,      -73.35
   24,     42E,                      92,                  0.5,    +1820.57,   +16455.02,      -73.45
   25,     42E,                      36,                  0.0,    -6375.38,    +8219.95,      -73.45
   26,     42O,                     322,                  0.0,    +2689.90,   +16120.05,      -73.35
   27,     42O,                     222,                  0.0,    -8963.02,    +5902.59,      -73.35
   28,     45S,                     215,                  0.0,   -15790.95,    +8804.99,      -73.45
   29,     48E,                     324,                  0.8,   -10898.96,    +9358.79,      -73.35
   30,     48O,                     142,                  0.0,    -9386.24,    +4273.96,      -73.45
   31,     50E,                      40,                  1.1,   -12298.42,    +5871.81,      -73.45
   32,     50O,                     321,                  0.0,   -14624.00,    +4393.44,      -73.45
   33,     52E,                      18,                  1.4,    -4493.02,   +10842.72,      -73.45
   34,     52O,                      80,                  1.6,    +4874.33,   +19362.86,      -74.02
   35,     55N,                     316,                  0.0,   -30226.36,    +3288.16,      -73.45
   36,     55N,                     215,                  0.0,    -7508.55,    +3510.44,      -74.45
   37,     55S,                     215,                  0.0,   -12056.47,      -25.12,      -76.48
   38,     55S,                     215,                  0.0,   -30262.82,    +3275.16,      -73.35
   39,     56E,                     151,                  0.0,   -24510.04,     +486.44,      -73.45
   40,     58E,                     336,                  0.8,    -5721.55,   +12145.60,      -73.45
   41,     60E,                     144,                  0.8,   -16712.86,    +3331.72,      -73.45
   42,     60O,                     325,                  0.0,   -10184.33,    +5010.15,      -73.45
   43,     61N,                      44,                  0.0,   -16120.03,    +4435.67,      -73.45
   44,     61S,                     325,                  0.0,   -23796.42,    +4978.69,      -73.45
   45,     63S,                     234,                  0.5,   -19687.61,   +10894.29,      -73.45
   46,     63S,                      54,                  0.4,   -12412.33,    +2786.14,      -73.35
   47,     65S,                     236,                  0.0,   -13318.34,    +3737.05,      -75.47
   48,     70O,                     248,                  0.0,   -13382.91,    +3713.93,      -73.45
   49,     73N,                     215,                  0.0,   -18490.08,   +11241.38,      -73.35
   50,     73N,                     215,                  0.0,    -9254.43,    +3865.19,      -73.45
   51,     73S,                     146,                  0.0,   -26278.82,    +5140.73,      -73.45
   52,     73S,                     122,                  0.0,   -13339.68,    +7781.84,      -73.35
   53,     74E,                     322,                  0.0,    -9831.80,    +4692.18,      -73.45
   54,     74O,                     253,                  0.0,   -11688.16,   +17124.63,      -73.45
   55,     76E,                     215,                  0.0,   -29094.07,     -254.73,      -75.47
   56,    902S,                     215,                  0.0,   -16551.38,    +4808.87,      -76.48
   57,    903N,                     320,                  0.8,   -17837.48,    +4390.32,      -73.45
   58,    903S,                      44,                  0.0,   -29536.75,    +3512.66,      -73.45